"","temp","rain_1h","snow_1h","clouds_all","traffic_volume","time","holiday","moderately_bad_weather","moderately_good_weather","good_weather"
"71",281.43,0,0,75,5967,13,0,0,1,0
"72",281.78,0,0,90,6108,14,0,0,1,0
"73",281.91,0,0,90,6128,15,0,0,1,0
"74",281.73,0,0,90,6069,16,0,0,1,0
"75",281.42,0,0,90,6169,17,0,0,1,0
"76",280.87,0,0,90,5384,18,0,0,1,0
"77",280.15,0,0,90,4063,19,0,0,1,0
"78",279.78,0,0,90,3364,20,0,0,1,0
"79",279.65,0,0,75,2971,21,0,0,1,0
"80",279.22,0,0,40,2450,22,0,0,1,0
"81",279.06,0,0,40,1832,23,0,0,1,0
"82",278.81,0,0,90,1231,0,0,0,1,0
"83",278.55,0,0,90,718,1,0,0,1,0
"84",278.59,0,0,90,545,2,0,0,1,0
"85",276.99,0,0,75,411,4,0,0,1,0
"86",276.35,0,0,20,688,5,0,0,1,0
"87",275.4,0,0,1,1352,6,0,0,0,1
"88",275.17,0,0,1,2072,7,0,0,0,1
"89",274.99,0,0,1,3342,8,0,0,0,1
"90",275.09,0,0,40,4258,9,0,0,1,0
"91",276.88,0,0,20,4861,10,0,0,1,0
"92",278.04,0,0,20,5191,11,0,0,1,0
"93",279.08,0,0,40,5669,12,0,0,1,0
"94",280.12,0,0,75,5074,13,0,0,1,0
"95",280.25,0,0,75,5025,14,0,0,1,0
"96",280,0,0,75,5153,15,0,0,1,0
"97",279.06,0,0,90,5024,16,0,0,1,0
"98",278.91,0,0,90,4779,17,0,0,1,0
"99",278.39,0,0,90,4362,18,0,0,1,0
"100",278.16,0,0,90,3860,19,0,0,1,0
"101",278.16,0,0,90,3160,20,0,0,1,0
"102",277.93,0,0,90,2992,21,0,0,1,0
"103",276.9,0,0,90,3202,22,0,0,1,0
"104",276.34,0,0,75,1941,23,0,0,1,0
"105",276.11,0,0,75,1233,0,0,0,1,0
"106",275.73,0,0,90,323,3,0,0,1,0
"107",275.65,0,0,90,312,4,0,0,1,0
"108",275.51,0,0,75,627,5,0,0,1,0
"109",275.05,0,0,90,1508,6,0,0,1,0
"110",274.77,0,0,90,1539,7,0,0,1,0
"111",274.77,0,0,75,2232,8,0,0,1,0
"112",275.55,0,0,75,4568,9,0,0,1,0
"113",276.24,0,0,75,4624,10,0,0,1,0
"114",277.01,0,0,90,4529,11,0,0,1,0
"115",277.43,0,0,90,5139,12,0,0,1,0
"116",278.45,0,0,90,6640,13,0,0,1,0
"117",279.27,0,0,90,6589,14,0,0,1,0
"118",279.27,0,0,90,4429,15,0,0,1,0
"119",279.44,0,0,90,4329,16,0,0,1,0
"120",279.32,0,0,90,3833,17,0,0,1,0
"121",279.27,0,0,90,4015,18,0,0,1,0
"122",278.11,0,0,90,3382,19,0,0,1,0
"123",276.79,0,0,75,2815,20,0,0,1,0
"124",275.73,0,0,90,2110,21,0,0,1,0
"125",274.88,0,0,75,1555,22,0,0,1,0
"126",273.92,0,0,20,959,23,0,0,1,0
"127",273.08,0,0,20,455,0,1,0,1,0
"128",272.62,0,0,20,336,1,0,0,1,0
"129",271.78,0,0,1,265,2,0,0,0,1
"130",271.05,0,0,1,314,3,0,0,0,1
"131",270.63,0,0,1,779,4,0,0,0,1
"132",270.33,0,0,1,2571,5,0,0,0,1
"133",269.61,0,0,20,5563,6,0,0,1,0
"134",270.01,0,0,20,6676,7,0,0,1,0
"135",271.23,0,0,20,5966,8,0,0,1,0
"136",273.71,0,0,20,4832,9,0,0,1,0
"137",276.77,0,0,20,4395,10,0,0,1,0
"138",279.47,0,0,20,4411,11,0,0,1,0
"139",279.84,0,0,1,4648,12,0,0,0,1
"140",282.34,0,0,40,4602,13,0,0,1,0
"141",282.94,0,0,40,5125,14,0,0,1,0
"142",283.48,0,0,1,5502,15,0,0,0,1
"143",284.33,0,0,1,5979,16,0,0,0,1
"144",284.48,0,0,40,5663,17,0,0,1,0
"145",284.23,0,0,40,4259,18,0,0,1,0
"146",281.99,0,0,20,3069,19,0,0,1,0
"147",279.81,0,0,1,2378,20,0,0,0,1
"148",279.35,0,0,1,2030,21,0,0,0,1
"149",278.9,0,0,1,1400,22,0,0,0,1
"150",278.46,0,0,1,917,23,0,0,0,1
"151",277.78,0,0,1,515,0,0,0,0,1
"152",277.27,0,0,1,302,1,0,0,0,1
"153",277.47,0,0,1,251,2,0,0,0,1
"154",276.97,0,0,20,798,4,0,0,1,0
"155",276.52,0,0,40,2678,5,0,0,1,0
"156",276.6,0,0,40,5733,6,0,0,1,0
"157",277.31,0,0,75,6449,7,0,0,1,0
"158",278.38,0,0,90,5765,8,0,0,1,0
"159",279.35,0,0,90,5599,9,0,0,1,0
"160",281.37,0,0,90,4534,10,0,0,1,0
"161",283.11,0,0,90,4691,11,0,0,1,0
"162",284.08,0,0,75,5067,12,0,0,1,0
"163",285.14,0,0,75,5030,13,0,0,1,0
"164",286.35,0,0,90,5300,14,0,0,1,0
"165",287.23,0,0,100,5777,15,0,0,0,0
"166",288.53,0,0,90,6349,16,0,0,1,0
"167",290.37,0,0,90,6127,17,0,0,1,0
"168",290.13,0,0,90,4460,18,0,0,1,0
"169",288.86,0,0,75,3418,19,0,0,1,0
"170",287.36,0,0,90,2775,20,0,0,1,0
"171",285.11,0,0,90,2306,21,0,0,1,0
"172",283.46,0,0,90,1846,22,0,0,1,0
"173",282.45,0,0,90,947,23,0,0,1,0
"174",281.88,0,0,90,494,0,0,0,1,0
"175",281.78,0,0,90,332,1,0,0,1,0
"176",281.09,0,0,75,261,2,0,0,1,0
"177",281.17,0,0,90,361,3,0,0,1,0
"178",281.25,0,0,92,5875,6,0,0,0,1
"179",281.25,0,0,99,6793,7,0,0,0,0
"180",281.25,0,0,99,6793,7,0,1,0,0
"181",280.1,0,0,99,6283,8,0,0,0,0
"182",280.1,0,0,99,6283,8,0,1,0,0
"183",279.61,0,0,99,5680,9,0,0,0,0
"184",279.61,0,0,99,5680,9,0,1,0,0
"185",279.67,0,0,99,4632,10,0,0,0,1
"186",280.19,0,0,1,4887,11,0,0,0,1
"187",282.09,0,0,75,5030,12,0,0,1,0
"188",282.26,0,0,75,5067,13,0,0,1,0
"189",282.05,0,0,90,5227,14,0,0,1,0
"190",281.59,0,0,90,5610,15,0,0,1,0
"191",281.23,0,0,81,6286,16,0,0,0,1
"192",282.6,0,0,81,4775,18,0,0,0,1
"193",282.6,0,0,81,3340,19,0,0,0,1
"194",282.6,0,0,81,3013,20,0,0,0,1
"195",282.6,0,0,81,2603,21,0,0,0,1
"196",282.6,0,0,81,1910,22,0,0,0,1
"197",282.6,0,0,81,1037,23,0,0,0,1
"198",273.9,0,0,1,347,1,0,0,0,1
"199",274.4,0,0,75,350,3,0,0,1,0
"200",274.05,0,0,75,850,4,0,0,1,0
"201",273.71,0,0,40,2791,5,0,0,1,0
"202",272.66,0,0,1,5809,6,0,0,0,1
"203",272.65,0,0,1,6798,7,0,0,0,1
"204",272.52,0,0,1,6304,8,0,0,0,1
"205",275.19,0,0,20,5291,9,0,0,1,0
"206",275.34,0,0,1,4638,10,0,0,0,1
"207",284.1,0,0,50,5557,14,0,0,0,1
"208",284.1,0,0,50,5818,15,0,0,0,1
"209",283.78,0,0,75,6272,16,0,0,1,0
"210",283.52,0,0,75,5944,17,0,0,1,0
"211",283.32,0,0,90,4949,18,0,0,1,0
"212",282.06,0,0,90,3511,19,0,0,1,0
"213",281.95,0,0,90,3039,20,0,0,1,0
"214",281.81,0,0,90,2679,21,0,0,1,0
"215",282.16,0,0,90,2094,22,0,0,1,0
"216",282.53,0,0,90,1284,23,0,0,1,0
"217",283.91,0,0,90,630,0,0,0,1,0
"218",284.64,0,0,90,410,1,0,0,1,0
"219",284.61,0,0,90,331,2,0,0,1,0
"220",283.18,0,0,72,372,3,0,1,0,0
"221",282.26,0,0,72,739,4,0,0,0,0
"222",280.77,0,0,72,2561,5,0,1,0,0
"223",278.53,0,0,75,5586,6,0,0,1,0
"224",277.64,0,0,75,6992,7,0,0,1,0
"225",277.9,0,0,90,5860,8,0,0,1,0
"226",278.18,0,0,90,5230,9,0,0,1,0
"227",279.29,0,0,75,4864,10,0,0,1,0
"228",280.45,0,0,75,5146,11,0,0,1,0
"229",280.95,0,0,40,5526,12,0,0,1,0
"230",281.74,0,0,40,5383,13,0,0,1,0
"231",281.84,0,0,75,5758,14,0,0,1,0
"232",282.45,0,0,75,5889,15,0,0,1,0
"233",282.2,0,0,75,6057,16,0,0,1,0
"234",281.54,0,0,40,6028,17,0,0,1,0
"235",280.21,0,0,20,5257,18,0,0,1,0
"236",282.2,0,0,56,1897,23,0,0,0,1
"237",272.58,0,0,1,1335,0,0,0,0,1
"238",272.06,0,0,1,769,1,0,0,0,1
"239",270.99,0,0,1,570,2,0,0,0,1
"240",270.29,0,0,20,413,3,0,0,1,0
"241",269.48,0,0,1,399,4,0,0,0,1
"242",269.27,0,0,1,740,5,0,0,0,1
"243",268.91,0,0,1,1420,6,0,0,0,1
"244",268.98,0,0,75,2220,7,0,0,1,0
"245",269.23,0,0,40,3479,8,0,0,1,0
"246",272.61,0,0,40,4546,9,0,0,1,0
"247",276.78,0,0,20,4579,10,0,0,1,0
"248",279.22,0,0,1,4438,11,0,0,0,1
"249",280.35,0,0,1,4623,12,0,0,0,1
"250",281.81,0,0,1,4440,13,0,0,0,1
"251",283.05,0,0,1,4495,14,0,0,0,1
"252",283.96,0,0,1,4483,15,0,0,0,1
"253",284.53,0,0,1,4591,16,0,0,0,1
"254",284.44,0,0,1,4477,17,0,0,0,1
"255",283.64,0,0,1,4221,18,0,0,0,1
"256",281.85,0,0,20,3672,19,0,0,1,0
"257",281.38,0,0,1,3015,20,0,0,0,1
"258",281.84,0,0,75,2769,21,0,0,1,0
"259",282.23,0,0,90,2875,22,0,0,1,0
"260",282.18,0,0,90,1931,23,0,0,1,0
"261",282.49,0,0,90,1309,0,0,0,1,0
"262",282.54,0,0,90,870,1,0,0,1,0
"263",282.58,0,0,90,654,2,0,0,1,0
"264",282.23,0,0,90,364,3,0,0,1,0
"265",282.08,0,0,90,262,4,0,0,1,0
"266",282.23,0,0,90,505,5,0,0,1,0
"267",282.24,0,0,90,861,6,0,0,1,0
"268",282.24,0,0,90,1132,7,0,0,1,0
"269",282.24,0,0,57,1797,8,0,1,0,0
"270",282.43,0,0,57,2685,9,0,1,0,0
"271",282.43,0,0,57,2685,9,0,1,0,0
"272",282.43,0,0,57,2685,9,0,1,0,0
"273",282.33,0,0,57,3370,10,0,1,0,0
"274",282.33,0,0,57,3370,10,0,1,0,0
"275",282.82,0,0,57,3662,11,0,1,0,0
"276",282.82,0,0,57,3662,11,0,1,0,0
"277",283.33,0,0,57,4076,12,0,1,0,0
"278",283.33,0,0,57,4076,12,0,0,0,0
"279",283.33,0,0,57,4076,12,0,1,0,0
"280",283.75,0,0,93,4128,13,0,0,0,0
"281",283.75,0,0,93,4128,13,0,1,0,0
"282",283.75,0,0,93,4128,13,0,1,0,0
"283",284.09,0,0,93,4358,14,0,1,0,0
"284",284.09,0,0,93,4358,14,0,0,0,0
"285",284.09,0,0,93,4358,14,0,1,0,0
"286",284.55,0,0,93,4342,15,0,1,0,0
"287",284.55,0,0,93,4342,15,0,0,0,0
"288",284.68,0,0,93,4234,16,0,1,0,0
"289",284.64,0,0,93,4271,17,0,0,0,0
"290",284.64,0,0,93,4271,17,0,1,0,0
"291",284.4,0,0,93,4080,18,0,1,0,0
"292",284.17,0,0,93,3453,19,0,1,0,0
"293",284.03,0,0,93,2718,20,0,1,0,0
"294",283.58,0,0,93,2439,21,0,1,0,0
"295",283.04,0,0,93,1819,22,0,1,0,0
"296",281.95,0,0,93,1002,23,0,1,0,0
"297",281.95,0,0,93,1002,23,0,1,0,0
"298",281.61,0,0,93,542,0,0,1,0,0
"299",281.61,0,0,93,542,0,0,1,0,0
"300",281.57,0,0,85,303,1,0,1,0,0
"301",281.42,0,0,85,239,2,0,1,0,0
"302",281.29,0,0,85,335,3,0,1,0,0
"303",281.29,0,0,85,335,3,0,1,0,0
"304",281.02,0,0,85,810,4,0,1,0,0
"305",281.02,0,0,85,810,4,0,1,0,0
"306",280.82,0,0,85,2606,5,0,1,0,0
"307",280.82,0,0,85,2606,5,0,1,0,0
"308",280.39,0,0,85,5714,6,0,1,0,0
"309",280.19,0,0,100,6798,7,0,1,0,0
"310",279.82,0,0,100,6114,8,0,1,0,0
"311",279.75,0,0,100,5094,9,0,1,0,0
"312",280.07,0,0,100,4473,10,0,1,0,0
"313",280.32,0,0,90,4529,11,0,0,1,0
"314",281.72,0,0,100,4823,12,0,0,0,1
"315",284.01,0,0,40,4872,13,0,0,1,0
"316",285.88,0,0,1,5238,14,0,0,0,1
"317",286.87,0,0,1,5584,15,0,0,0,1
"318",287.6,0,0,20,6246,16,0,0,1,0
"319",287.27,0,0,20,5957,17,0,0,1,0
"320",286.18,0,0,20,4535,18,0,0,1,0
"321",285.2,0,0,75,3234,19,0,0,1,0
"322",284.68,0,0,75,2677,20,0,0,1,0
"323",284.49,0,0,90,2077,21,0,0,1,0
"324",283.54,0,0,20,1380,22,0,0,1,0
"325",282.33,0,0,75,927,23,0,0,1,0
"326",281.21,0,0,20,500,0,0,0,1,0
"327",279.87,0,0,1,324,1,0,0,0,1
"328",278.93,0,0,1,257,2,0,0,0,1
"329",277.91,0,0,1,354,3,0,0,0,1
"330",277.21,0,0,1,769,4,0,0,0,1
"331",276.61,0,0,1,2769,5,0,0,0,1
"332",276.11,0,0,1,5789,6,0,0,0,1
"333",274.81,0,0,20,7055,7,0,0,1,0
"334",274.99,0,0,20,6408,8,0,0,1,0
"335",277.91,0,0,20,5254,9,0,0,1,0
"336",280.71,0,0,20,4547,10,0,0,1,0
"337",283.85,0,0,20,4784,11,0,0,1,0
"338",286.01,0,0,40,5015,12,0,0,1,0
"339",286.31,0,0,1,5057,13,0,0,0,1
"340",288.15,0,0,75,5430,14,0,0,1,0
"341",289.15,0,0,75,5813,15,0,0,1,0
"342",288.99,0,0,75,6496,16,0,0,1,0
"343",288.86,0,0,75,6429,17,0,0,1,0
"344",288.16,0,0,90,5142,18,0,0,1,0
"345",287.28,0,0,68,3311,19,0,0,0,0
"346",287.04,0,0,90,2777,20,0,0,1,0
"347",286.9,0,0,90,2331,21,0,0,1,0
"348",287.09,0,0,90,1767,22,0,0,1,0
"349",287.09,0,0,90,1093,23,0,0,1,0
"350",286.89,0,0,75,554,0,0,0,1,0
"351",286.93,0,0,75,333,1,0,0,1,0
"352",286.93,0,0,90,267,2,0,0,1,0
"353",287.07,0,0,90,358,3,0,0,1,0
"354",286.56,0,0,75,777,4,0,0,1,0
"355",285.91,0,0,90,2732,5,0,0,1,0
"356",285.29,0,0,90,5637,6,0,0,1,0
"357",284.92,0,0,75,5564,7,0,0,1,0
"358",285.35,0,0,75,6274,8,0,0,1,0
"359",285.72,0,0,100,5403,9,0,0,0,0
"360",285.72,0,0,100,5403,9,0,0,0,0
"361",287.09,0,0,75,4680,10,0,0,1,0
"362",288.31,0,0,75,4642,11,0,0,1,0
"363",288.61,0,0,1,4979,12,0,0,0,1
"364",290.32,0,0,1,4851,13,0,0,0,1
"365",291.36,0,0,1,4291,14,0,0,0,1
"366",292.01,0,0,1,4714,15,0,0,0,1
"367",292.61,0,0,1,6723,16,0,0,0,1
"368",292.65,0,0,1,6180,17,0,0,0,1
"369",290.52,0,0,40,4843,18,0,0,1,0
"370",288.35,0,0,40,3435,19,0,0,1,0
"371",286.72,0,0,40,2921,20,0,0,1,0
"372",285.49,0,0,40,2763,21,0,0,1,0
"373",284.22,0,0,20,1930,22,0,0,1,0
"374",283.8,0,0,20,1160,23,0,0,1,0
"375",283.72,0,0,20,654,0,0,0,1,0
"376",282.8,0,0,40,374,1,0,0,1,0
"377",282.32,0,0,99,301,2,0,1,0,0
"378",282.38,0,0,99,397,3,0,1,0,0
"379",282.76,0,0,90,794,4,0,0,1,0
"380",282.88,0,0,99,2564,5,0,1,0,0
"381",284.18,0,0,75,5358,6,0,0,1,0
"382",284.69,0,0,90,6441,7,0,0,1,0
"383",285,0,0,90,5536,8,0,0,1,0
"384",286.9,0,0,99,5256,9,0,0,0,0
"385",288.35,0,0,90,4619,10,0,0,1,0
"386",289.59,0,0,90,5107,11,0,0,1,0
"387",288.27,0,0,99,5147,12,0,0,0,0
"388",286.41,0,0,90,5283,13,0,0,1,0
"389",285.96,0,0,90,5704,14,0,0,1,0
"390",287.04,0,0,90,5887,15,0,0,1,0
"391",287.18,0,0,90,6307,16,0,0,1,0
"392",286.94,0,0,90,5953,17,0,0,1,0
"393",286.01,0,0,90,4519,18,0,0,1,0
"394",284.67,0,0,100,3427,19,0,1,0,0
"395",283.44,0,0,100,2921,20,0,0,0,0
"396",282.51,0,0,100,2649,21,0,1,0,0
"397",281.9,0,0,90,2005,22,0,0,1,0
"398",281.85,0,0,90,1177,23,0,0,1,0
"399",281.28,0,0,90,699,0,0,0,1,0
"400",280.97,0,0,87,436,1,0,1,0,0
"401",280.44,0,0,87,353,2,0,1,0,0
"402",280.44,0,0,87,353,2,0,1,0,0
"403",280.02,0,0,87,399,3,0,1,0,0
"404",279.79,0,0,87,720,4,0,1,0,0
"405",279.79,0,0,87,720,4,0,1,0,0
"406",279.79,0,0,87,720,4,0,0,0,0
"407",279.79,0,0,87,720,4,0,1,0,0
"408",279.74,0,0,87,2370,5,0,1,0,0
"409",279.74,0,0,87,2370,5,0,0,0,0
"410",279.65,0,0,87,5162,6,0,1,0,0
"411",279.65,0,0,87,5162,6,0,1,0,0
"412",279.65,0,0,87,5162,6,0,0,0,0
"413",279.45,0,0,91,5777,7,0,1,0,0
"414",279.45,0,0,91,5777,7,0,0,0,0
"415",279.22,0,0,91,5235,8,0,1,0,0
"416",279.22,0,0,91,5235,8,0,1,0,0
"417",279.22,0,0,91,5235,8,0,0,0,0
"418",279.35,0,0,91,4606,9,0,0,0,0
"419",279.35,0,0,91,4606,9,0,1,0,0
"420",279.92,0,0,91,4328,10,0,1,0,0
"421",280.44,0,0,90,4282,11,0,0,1,0
"422",281,0,0,90,4489,12,0,0,1,0
"423",281.51,0,0,90,4908,13,0,0,1,0
"424",281.93,0,0,92,5620,14,0,1,0,0
"425",281.94,0,0,92,5849,15,0,1,0,0
"426",281.94,0,0,92,5849,15,0,1,0,0
"427",282.27,0,0,92,4945,16,0,0,0,0
"428",282.41,0,0,92,4619,17,0,0,0,0
"429",282.21,0,0,90,4479,18,0,0,1,0
"430",281.69,0,0,75,3804,19,0,0,1,0
"431",281.26,0,0,90,2908,20,0,0,1,0
"432",280.66,0,0,92,2942,21,0,1,0,0
"433",280.43,0,0,92,3077,22,0,1,0,0
"434",280.43,0,0,92,3077,22,0,1,0,0
"435",280.1,0,0,92,2051,23,0,1,0,0
"436",280.1,0,0,92,2051,23,0,0,0,0
"437",280.1,0,0,92,2051,23,0,1,0,0
"438",280.06,0,0,92,1270,0,0,0,0,0
"439",280.06,0,0,92,1270,0,0,0,0,0
"440",280.28,0,0,96,773,1,0,1,0,0
"441",280.28,0,0,96,773,1,0,0,0,0
"442",280.38,0,0,96,589,2,0,1,0,0
"443",280.62,0,0,96,432,3,0,1,0,0
"444",280.62,0,0,96,432,3,0,1,0,0
"445",280.91,0,0,96,401,4,0,1,0,0
"446",280.91,0,0,96,401,4,0,1,0,0
"447",280.91,0,0,96,401,4,0,0,0,0
"448",280.96,0,0,96,759,5,0,0,0,0
"449",280.96,0,0,96,759,5,0,1,0,0
"450",280.96,0,0,96,759,5,0,1,0,0
"451",281.13,0,0,96,1313,6,0,0,0,0
"452",281.13,0,0,96,1313,6,0,1,0,0
"453",281.13,0,0,96,1313,6,0,1,0,0
"454",281.28,0,0,100,1824,7,0,0,0,0
"455",281.28,0,0,100,1824,7,0,1,0,0
"456",281.28,0,0,100,1824,7,0,1,0,0
"457",281.19,0,0,100,2787,8,0,0,0,0
"458",281.19,0,0,100,2787,8,0,1,0,0
"459",281.19,0,0,100,2787,8,0,1,0,0
"460",281.7,0,0,100,3713,9,0,0,0,0
"461",281.7,0,0,100,3713,9,0,1,0,0
"462",281.7,0,0,100,3713,9,0,1,0,0
"463",281.7,0,0,100,3713,9,0,1,0,0
"464",282.02,0,0,100,3815,10,0,0,0,0
"465",282.02,0,0,100,3815,10,0,1,0,0
"466",282.02,0,0,100,3815,10,0,1,0,0
"467",282.02,0,0,100,3815,10,0,0,0,0
"468",282.35,0,0,100,4339,11,0,0,0,0
"469",282.35,0,0,100,4339,11,0,1,0,0
"470",282.35,0,0,100,4339,11,0,1,0,0
"471",282.71,0,0,100,4613,12,0,0,0,0
"472",282.71,0,0,100,4613,12,0,1,0,0
"473",282.71,0,0,100,4613,12,0,0,0,0
"474",282.71,0,0,100,4613,12,0,0,0,0
"475",283.31,0,0,48,4507,13,0,0,0,0
"476",283.79,0,0,90,4452,14,0,0,1,0
"477",284.2,0,0,75,4636,15,0,0,1,0
"478",284.32,0,0,90,4810,16,0,0,1,0
"479",284.13,0,0,75,5125,17,0,0,1,0
"480",283.14,0,0,40,4337,18,0,0,1,0
"481",281.4,0,0,40,3644,19,0,0,1,0
"482",280.47,0,0,20,3107,20,0,0,1,0
"483",279.52,0,0,20,2929,21,0,0,1,0
"484",278.85,0,0,48,2865,22,0,1,0,0
"485",278.12,0,0,48,2340,23,0,1,0,0
"486",277.94,0,0,48,1372,0,0,1,0,0
"487",275.93,0,0,60,1928,8,0,1,0,0
"488",275.93,0,0,60,1928,8,0,1,0,0
"489",284.09,0,0,75,4695,17,0,0,1,0
"490",282.6,0,0,75,4335,18,0,0,1,0
"491",281.72,0,0,90,1583,22,0,0,1,0
"492",281.26,0,0,90,959,23,0,0,1,0
"493",281.29,0,0,75,498,0,0,0,1,0
"494",281.01,0,0,75,306,1,0,0,1,0
"495",280.57,0,0,40,259,2,0,0,1,0
"496",280.54,0,0,75,324,3,0,0,1,0
"497",279.37,0,0,8,806,4,0,1,0,0
"498",279.18,0,0,8,2622,5,0,1,0,0
"499",279.05,0,0,8,5456,6,0,1,0,0
"500",282.7,0,0,38,4324,10,0,0,0,1
"501",286.17,0,0,40,4378,11,0,0,1,0
"502",288.61,0,0,75,4639,12,0,0,1,0
"503",290.59,0,0,20,4546,13,0,0,1,0
"504",292.21,0,0,75,5006,14,0,0,1,0
"505",293.56,0,0,75,5361,15,0,0,1,0
"506",293.43,0,0,40,6101,16,0,0,1,0
"507",293.4,0,0,40,5781,17,0,0,1,0
"508",291.47,0,0,20,4272,18,0,0,1,0
"509",289.17,0,0,20,3091,19,0,0,1,0
"510",287.28,0,0,1,2434,20,0,0,0,1
"511",286.1,0,0,1,1984,21,0,0,0,1
"512",285.45,0,0,75,1383,22,0,0,1,0
"513",285.33,0,0,90,959,23,0,0,1,0
"514",285.07,0,0,90,511,0,0,0,1,0
"515",284.58,0,0,90,346,1,0,0,1,0
"516",283.88,0,0,75,253,2,0,0,1,0
"517",283.55,0,0,75,349,3,0,0,1,0
"518",282.85,0,0,20,807,4,0,0,1,0
"519",282.42,0,0,20,2669,5,0,0,1,0
"520",282.13,0,0,75,5210,6,0,0,1,0
"521",281.85,0,0,40,6083,7,0,0,1,0
"522",281.85,0,0,20,5790,8,0,0,1,0
"523",283.07,0,0,75,5484,9,0,0,1,0
"524",284.53,0,0,90,4407,10,0,0,1,0
"525",285.6,0,0,75,4725,11,0,0,1,0
"526",286.63,0,0,90,4826,12,0,0,1,0
"527",286.75,0,0,99,4945,13,0,0,0,0
"528",287.97,0,0,90,5065,14,0,0,1,0
"529",288.54,0,0,99,5618,15,0,0,0,0
"530",288.72,0,0,90,6094,16,0,0,1,0
"531",288.53,0,0,90,5844,17,0,0,1,0
"532",288.16,0,0,90,4649,18,0,0,1,0
"533",287.59,0,0,90,3180,19,0,0,1,0
"534",287.21,0,0,90,2963,20,0,0,1,0
"535",286.29,0,0,90,2450,21,0,0,1,0
"536",285.7,0,0,90,1613,22,0,0,1,0
"537",285.61,0,0,90,1021,23,0,0,1,0
"538",285.37,0,0,99,580,0,0,1,0,0
