"","holiday","temp","rain_1h","snow_1h","clouds_all","weather_main","traffic_volume","time","holiday_Yes","weather_main_Clouds","weather_main_Drizzle","weather_main_Fog","weather_main_Haze","weather_main_Mist","weather_main_Rain","weather_main_Smoke","weather_main_Snow","weather_main_Squall","weather_main_Thunderstorm"
"49","No",296.38,0,0,1,"Clear",5178,13,0,0,0,0,0,0,0,0,0,0,0
"50","No",297.32,0,0,1,"Clear",5501,14,0,0,0,0,0,0,0,0,0,0,0
"51","No",298.17,0,0,1,"Clear",5713,15,0,0,0,0,0,0,0,0,0,0,0
"52","No",298.06,0,0,20,"Clouds",6292,16,0,1,0,0,0,0,0,0,0,0,0
"53","No",297.67,0,0,20,"Clouds",6057,17,0,1,0,0,0,0,0,0,0,0,0
"54","No",296.36,0,0,40,"Clouds",4907,18,0,1,0,0,0,0,0,0,0,0,0
"55","No",293.85,0,0,40,"Clouds",3503,19,0,1,0,0,0,0,0,0,0,0,0
"56","No",292.43,0,0,40,"Clouds",3037,20,0,1,0,0,0,0,0,0,0,0,0
"57","No",291.77,0,0,75,"Clouds",2822,21,0,1,0,0,0,0,0,0,0,0,0
"58","No",291.36,0,0,75,"Clouds",1992,22,0,1,0,0,0,0,0,0,0,0,0
"59","No",291.12,0,0,75,"Clouds",1166,23,0,1,0,0,0,0,0,0,0,0,0
"60","No",290.63,0,0,75,"Clouds",627,0,0,1,0,0,0,0,0,0,0,0,0
"61","No",290.46,0,0,40,"Clouds",388,1,0,1,0,0,0,0,0,0,0,0,0
"62","No",289.26,0,0,0,"Clear",368,3,0,0,0,0,0,0,0,0,0,0,0
"63","No",283.21,0,0,75,"Clouds",2489,5,0,1,0,0,0,0,0,0,0,0,0
"64","No",282.24,0,0,90,"Clouds",5537,6,0,1,0,0,0,0,0,0,0,0,0
"65","No",281.69,0,0,90,"Clouds",6628,7,0,1,0,0,0,0,0,0,0,0,0
"66","No",280.57,0,0,90,"Clouds",5534,8,0,1,0,0,0,0,0,0,0,0,0
"67","No",280.02,0,0,75,"Clouds",5403,9,0,1,0,0,0,0,0,0,0,0,0
"68","No",280.11,0,0,75,"Clouds",4770,10,0,1,0,0,0,0,0,0,0,0,0
"69","No",280,0,0,90,"Clouds",5217,11,0,1,0,0,0,0,0,0,0,0,0
"70","No",280.53,0,0,90,"Clouds",5870,12,0,1,0,0,0,0,0,0,0,0,0
"71","No",281.43,0,0,75,"Clouds",5967,13,0,1,0,0,0,0,0,0,0,0,0
"72","No",281.78,0,0,90,"Clouds",6108,14,0,1,0,0,0,0,0,0,0,0,0
"73","No",281.91,0,0,90,"Clouds",6128,15,0,1,0,0,0,0,0,0,0,0,0
"74","No",281.73,0,0,90,"Clouds",6069,16,0,1,0,0,0,0,0,0,0,0,0
"75","No",281.42,0,0,90,"Clouds",6169,17,0,1,0,0,0,0,0,0,0,0,0
"76","No",280.87,0,0,90,"Clouds",5384,18,0,1,0,0,0,0,0,0,0,0,0
"77","No",280.15,0,0,90,"Clouds",4063,19,0,1,0,0,0,0,0,0,0,0,0
"78","No",279.78,0,0,90,"Clouds",3364,20,0,1,0,0,0,0,0,0,0,0,0
"79","No",279.65,0,0,75,"Clouds",2971,21,0,1,0,0,0,0,0,0,0,0,0
"80","No",279.22,0,0,40,"Clouds",2450,22,0,1,0,0,0,0,0,0,0,0,0
"81","No",279.06,0,0,40,"Clouds",1832,23,0,1,0,0,0,0,0,0,0,0,0
"82","No",278.81,0,0,90,"Clouds",1231,0,0,1,0,0,0,0,0,0,0,0,0
"83","No",278.55,0,0,90,"Clouds",718,1,0,1,0,0,0,0,0,0,0,0,0
"84","No",278.59,0,0,90,"Clouds",545,2,0,1,0,0,0,0,0,0,0,0,0
"85","No",276.99,0,0,75,"Clouds",411,4,0,1,0,0,0,0,0,0,0,0,0
"86","No",276.35,0,0,20,"Clouds",688,5,0,1,0,0,0,0,0,0,0,0,0
"87","No",275.4,0,0,1,"Clear",1352,6,0,0,0,0,0,0,0,0,0,0,0
"88","No",275.17,0,0,1,"Clear",2072,7,0,0,0,0,0,0,0,0,0,0,0
"89","No",274.99,0,0,1,"Clear",3342,8,0,0,0,0,0,0,0,0,0,0,0
"90","No",275.09,0,0,40,"Clouds",4258,9,0,1,0,0,0,0,0,0,0,0,0
"91","No",276.88,0,0,20,"Clouds",4861,10,0,1,0,0,0,0,0,0,0,0,0
"92","No",278.04,0,0,20,"Clouds",5191,11,0,1,0,0,0,0,0,0,0,0,0
"93","No",279.08,0,0,40,"Clouds",5669,12,0,1,0,0,0,0,0,0,0,0,0
"94","No",280.12,0,0,75,"Clouds",5074,13,0,1,0,0,0,0,0,0,0,0,0
"95","No",280.25,0,0,75,"Clouds",5025,14,0,1,0,0,0,0,0,0,0,0,0
"96","No",280,0,0,75,"Clouds",5153,15,0,1,0,0,0,0,0,0,0,0,0
"97","No",279.06,0,0,90,"Clouds",5024,16,0,1,0,0,0,0,0,0,0,0,0
"98","No",278.91,0,0,90,"Clouds",4779,17,0,1,0,0,0,0,0,0,0,0,0
"99","No",278.39,0,0,90,"Clouds",4362,18,0,1,0,0,0,0,0,0,0,0,0
"100","No",278.16,0,0,90,"Clouds",3860,19,0,1,0,0,0,0,0,0,0,0,0
"101","No",278.16,0,0,90,"Clouds",3160,20,0,1,0,0,0,0,0,0,0,0,0
"102","No",277.93,0,0,90,"Clouds",2992,21,0,1,0,0,0,0,0,0,0,0,0
"103","No",276.9,0,0,90,"Clouds",3202,22,0,1,0,0,0,0,0,0,0,0,0
"104","No",276.34,0,0,75,"Clouds",1941,23,0,1,0,0,0,0,0,0,0,0,0
"105","No",276.11,0,0,75,"Clouds",1233,0,0,1,0,0,0,0,0,0,0,0,0
"106","No",275.73,0,0,90,"Clouds",323,3,0,1,0,0,0,0,0,0,0,0,0
"107","No",275.65,0,0,90,"Clouds",312,4,0,1,0,0,0,0,0,0,0,0,0
"108","No",275.51,0,0,75,"Clouds",627,5,0,1,0,0,0,0,0,0,0,0,0
"109","No",275.05,0,0,90,"Clouds",1508,6,0,1,0,0,0,0,0,0,0,0,0
"110","No",274.77,0,0,90,"Clouds",1539,7,0,1,0,0,0,0,0,0,0,0,0
"111","No",274.77,0,0,75,"Clouds",2232,8,0,1,0,0,0,0,0,0,0,0,0
"112","No",275.55,0,0,75,"Clouds",4568,9,0,1,0,0,0,0,0,0,0,0,0
"113","No",276.24,0,0,75,"Clouds",4624,10,0,1,0,0,0,0,0,0,0,0,0
"114","No",277.01,0,0,90,"Clouds",4529,11,0,1,0,0,0,0,0,0,0,0,0
"115","No",277.43,0,0,90,"Clouds",5139,12,0,1,0,0,0,0,0,0,0,0,0
"116","No",278.45,0,0,90,"Clouds",6640,13,0,1,0,0,0,0,0,0,0,0,0
"117","No",279.27,0,0,90,"Clouds",6589,14,0,1,0,0,0,0,0,0,0,0,0
"118","No",279.27,0,0,90,"Clouds",4429,15,0,1,0,0,0,0,0,0,0,0,0
"119","No",279.44,0,0,90,"Clouds",4329,16,0,1,0,0,0,0,0,0,0,0,0
"120","No",279.32,0,0,90,"Clouds",3833,17,0,1,0,0,0,0,0,0,0,0,0
"121","No",279.27,0,0,90,"Clouds",4015,18,0,1,0,0,0,0,0,0,0,0,0
"122","No",278.11,0,0,90,"Clouds",3382,19,0,1,0,0,0,0,0,0,0,0,0
"123","No",276.79,0,0,75,"Clouds",2815,20,0,1,0,0,0,0,0,0,0,0,0
"124","No",275.73,0,0,90,"Clouds",2110,21,0,1,0,0,0,0,0,0,0,0,0
"125","No",274.88,0,0,75,"Clouds",1555,22,0,1,0,0,0,0,0,0,0,0,0
"126","No",273.92,0,0,20,"Clouds",959,23,0,1,0,0,0,0,0,0,0,0,0
"127","Yes",273.08,0,0,20,"Clouds",455,0,1,1,0,0,0,0,0,0,0,0,0
"128","No",272.62,0,0,20,"Clouds",336,1,0,1,0,0,0,0,0,0,0,0,0
"129","No",271.78,0,0,1,"Clear",265,2,0,0,0,0,0,0,0,0,0,0,0
"130","No",271.05,0,0,1,"Clear",314,3,0,0,0,0,0,0,0,0,0,0,0
"131","No",270.63,0,0,1,"Clear",779,4,0,0,0,0,0,0,0,0,0,0,0
"132","No",270.33,0,0,1,"Clear",2571,5,0,0,0,0,0,0,0,0,0,0,0
"133","No",269.61,0,0,20,"Clouds",5563,6,0,1,0,0,0,0,0,0,0,0,0
"134","No",270.01,0,0,20,"Clouds",6676,7,0,1,0,0,0,0,0,0,0,0,0
"135","No",271.23,0,0,20,"Clouds",5966,8,0,1,0,0,0,0,0,0,0,0,0
"136","No",273.71,0,0,20,"Clouds",4832,9,0,1,0,0,0,0,0,0,0,0,0
"137","No",276.77,0,0,20,"Clouds",4395,10,0,1,0,0,0,0,0,0,0,0,0
"138","No",279.47,0,0,20,"Clouds",4411,11,0,1,0,0,0,0,0,0,0,0,0
"139","No",279.84,0,0,1,"Clear",4648,12,0,0,0,0,0,0,0,0,0,0,0
"140","No",282.34,0,0,40,"Clouds",4602,13,0,1,0,0,0,0,0,0,0,0,0
"141","No",282.94,0,0,40,"Clouds",5125,14,0,1,0,0,0,0,0,0,0,0,0
"142","No",283.48,0,0,1,"Clear",5502,15,0,0,0,0,0,0,0,0,0,0,0
"143","No",284.33,0,0,1,"Clear",5979,16,0,0,0,0,0,0,0,0,0,0,0
"144","No",284.48,0,0,40,"Clouds",5663,17,0,1,0,0,0,0,0,0,0,0,0
"145","No",284.23,0,0,40,"Clouds",4259,18,0,1,0,0,0,0,0,0,0,0,0
"146","No",281.99,0,0,20,"Clouds",3069,19,0,1,0,0,0,0,0,0,0,0,0
"147","No",279.81,0,0,1,"Clear",2378,20,0,0,0,0,0,0,0,0,0,0,0
"148","No",279.35,0,0,1,"Clear",2030,21,0,0,0,0,0,0,0,0,0,0,0
"149","No",278.9,0,0,1,"Clear",1400,22,0,0,0,0,0,0,0,0,0,0,0
"150","No",278.46,0,0,1,"Clear",917,23,0,0,0,0,0,0,0,0,0,0,0
"151","No",277.78,0,0,1,"Clear",515,0,0,0,0,0,0,0,0,0,0,0,0
"152","No",277.27,0,0,1,"Clear",302,1,0,0,0,0,0,0,0,0,0,0,0
"153","No",277.47,0,0,1,"Clear",251,2,0,0,0,0,0,0,0,0,0,0,0
"154","No",276.97,0,0,20,"Clouds",798,4,0,1,0,0,0,0,0,0,0,0,0
"155","No",276.52,0,0,40,"Clouds",2678,5,0,1,0,0,0,0,0,0,0,0,0
"156","No",276.6,0,0,40,"Clouds",5733,6,0,1,0,0,0,0,0,0,0,0,0
"157","No",277.31,0,0,75,"Clouds",6449,7,0,1,0,0,0,0,0,0,0,0,0
"158","No",278.38,0,0,90,"Clouds",5765,8,0,1,0,0,0,0,0,0,0,0,0
"159","No",279.35,0,0,90,"Clouds",5599,9,0,1,0,0,0,0,0,0,0,0,0
"160","No",281.37,0,0,90,"Clouds",4534,10,0,1,0,0,0,0,0,0,0,0,0
"161","No",283.11,0,0,90,"Clouds",4691,11,0,1,0,0,0,0,0,0,0,0,0
"162","No",284.08,0,0,75,"Clouds",5067,12,0,1,0,0,0,0,0,0,0,0,0
"163","No",285.14,0,0,75,"Clouds",5030,13,0,1,0,0,0,0,0,0,0,0,0
"164","No",286.35,0,0,90,"Clouds",5300,14,0,1,0,0,0,0,0,0,0,0,0
"165","No",287.23,0,0,100,"Rain",5777,15,0,0,0,0,0,0,1,0,0,0,0
"166","No",288.53,0,0,90,"Clouds",6349,16,0,1,0,0,0,0,0,0,0,0,0
"167","No",290.37,0,0,90,"Clouds",6127,17,0,1,0,0,0,0,0,0,0,0,0
"168","No",290.13,0,0,90,"Clouds",4460,18,0,1,0,0,0,0,0,0,0,0,0
"169","No",288.86,0,0,75,"Clouds",3418,19,0,1,0,0,0,0,0,0,0,0,0
"170","No",287.36,0,0,90,"Clouds",2775,20,0,1,0,0,0,0,0,0,0,0,0
"171","No",285.11,0,0,90,"Clouds",2306,21,0,1,0,0,0,0,0,0,0,0,0
"172","No",283.46,0,0,90,"Clouds",1846,22,0,1,0,0,0,0,0,0,0,0,0
"173","No",282.45,0,0,90,"Clouds",947,23,0,1,0,0,0,0,0,0,0,0,0
"174","No",281.88,0,0,90,"Clouds",494,0,0,1,0,0,0,0,0,0,0,0,0
"175","No",281.78,0,0,90,"Clouds",332,1,0,1,0,0,0,0,0,0,0,0,0
"176","No",281.09,0,0,75,"Clouds",261,2,0,1,0,0,0,0,0,0,0,0,0
"177","No",281.17,0,0,90,"Clouds",361,3,0,1,0,0,0,0,0,0,0,0,0
"178","No",281.25,0,0,92,"Clear",5875,6,0,0,0,0,0,0,0,0,0,0,0
"179","No",281.25,0,0,99,"Rain",6793,7,0,0,0,0,0,0,1,0,0,0,0
"180","No",281.25,0,0,99,"Drizzle",6793,7,0,0,1,0,0,0,0,0,0,0,0
"181","No",280.1,0,0,99,"Rain",6283,8,0,0,0,0,0,0,1,0,0,0,0
"182","No",280.1,0,0,99,"Drizzle",6283,8,0,0,1,0,0,0,0,0,0,0,0
"183","No",279.61,0,0,99,"Rain",5680,9,0,0,0,0,0,0,1,0,0,0,0
"184","No",279.61,0,0,99,"Drizzle",5680,9,0,0,1,0,0,0,0,0,0,0,0
"185","No",279.67,0,0,99,"Clear",4632,10,0,0,0,0,0,0,0,0,0,0,0
"186","No",280.19,0,0,1,"Clear",4887,11,0,0,0,0,0,0,0,0,0,0,0
"187","No",282.09,0,0,75,"Clouds",5030,12,0,1,0,0,0,0,0,0,0,0,0
"188","No",282.26,0,0,75,"Clouds",5067,13,0,1,0,0,0,0,0,0,0,0,0
"189","No",282.05,0,0,90,"Clouds",5227,14,0,1,0,0,0,0,0,0,0,0,0
"190","No",281.59,0,0,90,"Clouds",5610,15,0,1,0,0,0,0,0,0,0,0,0
"191","No",281.23,0,0,81,"Clear",6286,16,0,0,0,0,0,0,0,0,0,0,0
"192","No",282.6,0,0,81,"Clear",4775,18,0,0,0,0,0,0,0,0,0,0,0
"193","No",282.6,0,0,81,"Clear",3340,19,0,0,0,0,0,0,0,0,0,0,0
"194","No",282.6,0,0,81,"Clear",3013,20,0,0,0,0,0,0,0,0,0,0,0
"195","No",282.6,0,0,81,"Clear",2603,21,0,0,0,0,0,0,0,0,0,0,0
"196","No",282.6,0,0,81,"Clear",1910,22,0,0,0,0,0,0,0,0,0,0,0
"197","No",282.6,0,0,81,"Clear",1037,23,0,0,0,0,0,0,0,0,0,0,0
"198","No",273.9,0,0,1,"Clear",347,1,0,0,0,0,0,0,0,0,0,0,0
"199","No",274.4,0,0,75,"Clouds",350,3,0,1,0,0,0,0,0,0,0,0,0
"200","No",274.05,0,0,75,"Clouds",850,4,0,1,0,0,0,0,0,0,0,0,0
"201","No",273.71,0,0,40,"Clouds",2791,5,0,1,0,0,0,0,0,0,0,0,0
"202","No",272.66,0,0,1,"Clear",5809,6,0,0,0,0,0,0,0,0,0,0,0
"203","No",272.65,0,0,1,"Clear",6798,7,0,0,0,0,0,0,0,0,0,0,0
"204","No",272.52,0,0,1,"Clear",6304,8,0,0,0,0,0,0,0,0,0,0,0
"205","No",275.19,0,0,20,"Clouds",5291,9,0,1,0,0,0,0,0,0,0,0,0
"206","No",275.34,0,0,1,"Clear",4638,10,0,0,0,0,0,0,0,0,0,0,0
"207","No",284.1,0,0,50,"Clear",5557,14,0,0,0,0,0,0,0,0,0,0,0
"208","No",284.1,0,0,50,"Clear",5818,15,0,0,0,0,0,0,0,0,0,0,0
"209","No",283.78,0,0,75,"Clouds",6272,16,0,1,0,0,0,0,0,0,0,0,0
"210","No",283.52,0,0,75,"Clouds",5944,17,0,1,0,0,0,0,0,0,0,0,0
"211","No",283.32,0,0,90,"Clouds",4949,18,0,1,0,0,0,0,0,0,0,0,0
"212","No",282.06,0,0,90,"Clouds",3511,19,0,1,0,0,0,0,0,0,0,0,0
"213","No",281.95,0,0,90,"Clouds",3039,20,0,1,0,0,0,0,0,0,0,0,0
"214","No",281.81,0,0,90,"Clouds",2679,21,0,1,0,0,0,0,0,0,0,0,0
"215","No",282.16,0,0,90,"Clouds",2094,22,0,1,0,0,0,0,0,0,0,0,0
"216","No",282.53,0,0,90,"Clouds",1284,23,0,1,0,0,0,0,0,0,0,0,0
"217","No",283.91,0,0,90,"Clouds",630,0,0,1,0,0,0,0,0,0,0,0,0
"218","No",284.64,0,0,90,"Clouds",410,1,0,1,0,0,0,0,0,0,0,0,0
"219","No",284.61,0,0,90,"Clouds",331,2,0,1,0,0,0,0,0,0,0,0,0
"220","No",283.18,0,0,72,"Drizzle",372,3,0,0,1,0,0,0,0,0,0,0,0
"221","No",282.26,0,0,72,"Rain",739,4,0,0,0,0,0,0,1,0,0,0,0
"222","No",280.77,0,0,72,"Drizzle",2561,5,0,0,1,0,0,0,0,0,0,0,0
"223","No",278.53,0,0,75,"Clouds",5586,6,0,1,0,0,0,0,0,0,0,0,0
"224","No",277.64,0,0,75,"Clouds",6992,7,0,1,0,0,0,0,0,0,0,0,0
"225","No",277.9,0,0,90,"Clouds",5860,8,0,1,0,0,0,0,0,0,0,0,0
"226","No",278.18,0,0,90,"Clouds",5230,9,0,1,0,0,0,0,0,0,0,0,0
"227","No",279.29,0,0,75,"Clouds",4864,10,0,1,0,0,0,0,0,0,0,0,0
"228","No",280.45,0,0,75,"Clouds",5146,11,0,1,0,0,0,0,0,0,0,0,0
"229","No",280.95,0,0,40,"Clouds",5526,12,0,1,0,0,0,0,0,0,0,0,0
"230","No",281.74,0,0,40,"Clouds",5383,13,0,1,0,0,0,0,0,0,0,0,0
"231","No",281.84,0,0,75,"Clouds",5758,14,0,1,0,0,0,0,0,0,0,0,0
"232","No",282.45,0,0,75,"Clouds",5889,15,0,1,0,0,0,0,0,0,0,0,0
"233","No",282.2,0,0,75,"Clouds",6057,16,0,1,0,0,0,0,0,0,0,0,0
"234","No",281.54,0,0,40,"Clouds",6028,17,0,1,0,0,0,0,0,0,0,0,0
"235","No",280.21,0,0,20,"Clouds",5257,18,0,1,0,0,0,0,0,0,0,0,0
"236","No",282.2,0,0,56,"Clear",1897,23,0,0,0,0,0,0,0,0,0,0,0
"237","No",272.58,0,0,1,"Clear",1335,0,0,0,0,0,0,0,0,0,0,0,0
"238","No",272.06,0,0,1,"Clear",769,1,0,0,0,0,0,0,0,0,0,0,0
"239","No",270.99,0,0,1,"Clear",570,2,0,0,0,0,0,0,0,0,0,0,0
"240","No",270.29,0,0,20,"Clouds",413,3,0,1,0,0,0,0,0,0,0,0,0
"241","No",269.48,0,0,1,"Clear",399,4,0,0,0,0,0,0,0,0,0,0,0
"242","No",269.27,0,0,1,"Clear",740,5,0,0,0,0,0,0,0,0,0,0,0
"243","No",268.91,0,0,1,"Clear",1420,6,0,0,0,0,0,0,0,0,0,0,0
"244","No",268.98,0,0,75,"Clouds",2220,7,0,1,0,0,0,0,0,0,0,0,0
"245","No",269.23,0,0,40,"Clouds",3479,8,0,1,0,0,0,0,0,0,0,0,0
"246","No",272.61,0,0,40,"Clouds",4546,9,0,1,0,0,0,0,0,0,0,0,0
"247","No",276.78,0,0,20,"Clouds",4579,10,0,1,0,0,0,0,0,0,0,0,0
"248","No",279.22,0,0,1,"Clear",4438,11,0,0,0,0,0,0,0,0,0,0,0
"249","No",280.35,0,0,1,"Clear",4623,12,0,0,0,0,0,0,0,0,0,0,0
"250","No",281.81,0,0,1,"Clear",4440,13,0,0,0,0,0,0,0,0,0,0,0
"251","No",283.05,0,0,1,"Clear",4495,14,0,0,0,0,0,0,0,0,0,0,0
"252","No",283.96,0,0,1,"Clear",4483,15,0,0,0,0,0,0,0,0,0,0,0
"253","No",284.53,0,0,1,"Clear",4591,16,0,0,0,0,0,0,0,0,0,0,0
"254","No",284.44,0,0,1,"Clear",4477,17,0,0,0,0,0,0,0,0,0,0,0
"255","No",283.64,0,0,1,"Clear",4221,18,0,0,0,0,0,0,0,0,0,0,0
"256","No",281.85,0,0,20,"Clouds",3672,19,0,1,0,0,0,0,0,0,0,0,0
"257","No",281.38,0,0,1,"Clear",3015,20,0,0,0,0,0,0,0,0,0,0,0
"258","No",281.84,0,0,75,"Clouds",2769,21,0,1,0,0,0,0,0,0,0,0,0
"259","No",282.23,0,0,90,"Clouds",2875,22,0,1,0,0,0,0,0,0,0,0,0
"260","No",282.18,0,0,90,"Clouds",1931,23,0,1,0,0,0,0,0,0,0,0,0
"261","No",282.49,0,0,90,"Clouds",1309,0,0,1,0,0,0,0,0,0,0,0,0
"262","No",282.54,0,0,90,"Clouds",870,1,0,1,0,0,0,0,0,0,0,0,0
"263","No",282.58,0,0,90,"Clouds",654,2,0,1,0,0,0,0,0,0,0,0,0
"264","No",282.23,0,0,90,"Clouds",364,3,0,1,0,0,0,0,0,0,0,0,0
"265","No",282.08,0,0,90,"Clouds",262,4,0,1,0,0,0,0,0,0,0,0,0
"266","No",282.23,0,0,90,"Clouds",505,5,0,1,0,0,0,0,0,0,0,0,0
"267","No",282.24,0,0,90,"Clouds",861,6,0,1,0,0,0,0,0,0,0,0,0
"268","No",282.24,0,0,90,"Clouds",1132,7,0,1,0,0,0,0,0,0,0,0,0
"269","No",282.24,0,0,57,"Mist",1797,8,0,0,0,0,0,1,0,0,0,0,0
"270","No",282.43,0,0,57,"Drizzle",2685,9,0,0,1,0,0,0,0,0,0,0,0
"271","No",282.43,0,0,57,"Mist",2685,9,0,0,0,0,0,1,0,0,0,0,0
"272","No",282.43,0,0,57,"Haze",2685,9,0,0,0,0,1,0,0,0,0,0,0
"273","No",282.33,0,0,57,"Drizzle",3370,10,0,0,1,0,0,0,0,0,0,0,0
"274","No",282.33,0,0,57,"Mist",3370,10,0,0,0,0,0,1,0,0,0,0,0
"275","No",282.82,0,0,57,"Drizzle",3662,11,0,0,1,0,0,0,0,0,0,0,0
"276","No",282.82,0,0,57,"Mist",3662,11,0,0,0,0,0,1,0,0,0,0,0
"277","No",283.33,0,0,57,"Mist",4076,12,0,0,0,0,0,1,0,0,0,0,0
"278","No",283.33,0,0,57,"Rain",4076,12,0,0,0,0,0,0,1,0,0,0,0
"279","No",283.33,0,0,57,"Drizzle",4076,12,0,0,1,0,0,0,0,0,0,0,0
"280","No",283.75,0,0,93,"Rain",4128,13,0,0,0,0,0,0,1,0,0,0,0
"281","No",283.75,0,0,93,"Mist",4128,13,0,0,0,0,0,1,0,0,0,0,0
"282","No",283.75,0,0,93,"Drizzle",4128,13,0,0,1,0,0,0,0,0,0,0,0
"283","No",284.09,0,0,93,"Mist",4358,14,0,0,0,0,0,1,0,0,0,0,0
"284","No",284.09,0,0,93,"Rain",4358,14,0,0,0,0,0,0,1,0,0,0,0
"285","No",284.09,0,0,93,"Drizzle",4358,14,0,0,1,0,0,0,0,0,0,0,0
"286","No",284.55,0,0,93,"Mist",4342,15,0,0,0,0,0,1,0,0,0,0,0
"287","No",284.55,0,0,93,"Rain",4342,15,0,0,0,0,0,0,1,0,0,0,0
"288","No",284.68,0,0,93,"Mist",4234,16,0,0,0,0,0,1,0,0,0,0,0
